####################### Meta Data Part #############################
	Column Name	Data Type	Description	Label	Validation Text	Unit
1	EXPEDITION	Numeric	expedition code	#	expedition code, required key field between 1 and 9999	#
2	SITE	Numeric	site, number between 1 and 9999	Site	site, required key field between 1 and 9999	#
3	HOLE	text	hole identifier, A-Z	Hole	hole, required key field '[A-Z]'	#
4	CORE	Numeric	core identifier	Core	core identifier, required field, number between 1 and 9999	#
5	SECTION	Numeric	section number	Section	section number >=0	#
6	SECTION_ID	Numeric	section identifier,	Section	section Identifier, required field #	#
7	SECTION_UNIT	Integer	currrent section-unit	Lithology	# #	#
8	TOP_INTERVAL	Double	distance from top of  section-unit to top of section	Distance To Top Of Section	real value >=0.0	cm
9	BOTTOM_INTERVAL	Double	distance from top of  section-unit to top of section	Bottom To Top Of Section	# #	cm
10	TOP_DEPTH	Double	calculated top depth of section-unit	Calculated Top Depth (mbsf)	real value >=0.0	mbsf
11	TOP_DEPTH_MCD	Double	calculated top depth of section-unit	Calculated Top Depth (mcd)	real value >=0.0	mcd
12	UNIT_CLASS	Text	lithological class of section-unit	Unit Class	text string of maximum 30 characters #	#
13	UNIT_TYPE	Text	lithological type of section-unit	Unit Type	text string of maximum 255 characters #	#
14	UNIT_DESC4	Text	structural comments	Structures	text string of maximum 255 characters #	#
15	TEXTURES	Text	optional description of textures	Textures	text string of maximum 255 characters #	#
16	CONTACT_TOP	Text	top contact type of the current section-unit	Top Contact	text string of maximum 30 characters #	#
17	CONTACT_BOTTOM	Text	bottom contact type of the current section-unit	Bottom Contact	text string of maximum 30 characters #	#
18	VEIN_INTENSITY	Double	vein intensity	vein intensity	real values #	#
19	ALTERATION	Text	grade of alteration	Alteration	required text string of max. 255 characters #	#
20	REMARKS1	Memo	#	Veins Intensity Comments	unlimited text string #	#
21	REMARKS2	Memo	#	Structural Intensity Comments	unlimited text string #	#
22	REMARKS4	Memo	#	Rock Type Comments	# #	#
23	REMARKS5	Memo	#	Alteration Intensity Comments	# #	#
24	ANALYST1	Text	initials of data operator	Geologist1	required text string of max. 5 characters #	#
25	ANALYST2	Text	initials of data operator	Geologist2	required text string of max. 5 characters #	#
26	ANALYST3	Text	initials of data operator	Geologist3	required text string of max. 5 characters #	#
27	GRAINSIZE	Text	optional description of grainsize	Grainsize	text string of maximum 30 characters #	#
28	GRAINSIZE2	Text	optional description of grainsize	Grainsize 2	text string of maximum 30 characters #	#
29	UNIT_DESC5	Text	vein feature comments	Vein Features	text string of maximum 255 characters #	#
30	UNIT_DESC3	Text	alteration comments	Alteration	text string of maximum 255 characters #	#
31	DISCONTINUITIES	Text	optional description of discontinuities	Discontinuities	text string of maximum 30 characters #	#

####################### Data Part #############################

EXPEDITION	SITE	HOLE	CORE	SECTION	SECTION_ID	SECTION_UNIT	TOP_INTERVAL	BOTTOM_INTERVAL	TOP_DEPTH	TOP_DEPTH_MCD	UNIT_CLASS	UNIT_TYPE	UNIT_DESC4	TEXTURES	CONTACT_TOP	CONTACT_BOTTOM	VEIN_INTENSITY	ALTERATION	REMARKS1	REMARKS2	REMARKS4	REMARKS5	ANALYST1	ANALYST2	ANALYST3	GRAINSIZE	GRAINSIZE2	UNIT_DESC5	UNIT_DESC3	DISCONTINUITIES
5057	5	B	4	2	3109416	1	0		9.570	9.570	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	black serp veins in dunite, green and black veins at 61 cm and 65 cm with carbonates. Fine vein net of white carb at 0 to 23 cm. Milky white veins in gabbro (serpentine??)	viscous shera zone in gabbro, shallow dipping, shows banding and black mineral preferred orientation, grain size reduction. Serp-carb vein displaces dyke of potentially >6 cm. Open cracks at 20, 26, 49 cm and top and end of unit.	serp dunite with altered gabbroic dykes at 16 cm; 22 to 42 cm with a 1 cm viscous shear zone at 32 cm; 49 cm; 5 dykes between 48 and 58 cm (pink/red, 2-10 mm thick)	serp in mesh and black vein net, carb in veins, ox along veins and dyke contacts, all in both dunite and altered gabbroic dykes.	EM			Microcrystalline	Coarse grained	NN	NN	
5057	5	B	4	3	3109418	1	0		10.290	10.290	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	Black serp vein net, and green black serp thicker veins (3 mm) with carb in the core. Intense vein net at dyke contact and within dyke.	open cracks at top and end of unit.	serp dunite with altered gabbroic dyke at 14 cm (18 mm thick).	Serp, carb, ox.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	4	3	3109418	2	29		10.580	10.580	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%			serp dunite		EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	4	4	3109420	1	0		11.010	11.010	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	black serp vein with thicker steeply dipping. Waxy green and black serp at 45 cm with carbo at rims. At 0 to 17 cm one serp vein within carb vein net from 0.5-7 mm thick, with serp clasts and vughs	lineation on crak surface at 58 cm. Open cracks at 23, 34, 56, 58 cm and top and end sec	serp dunite with 6 mm thick gabbroic dyke (pink/red) at 70 cm; dyke at 72 to end.	Serp, carb, oxidation is not detecable by eye. Serpentinisation and abundant large oxides (magnetite) are more intense at 0 to 52 cm.	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	5	1	3109426	1	0		11.700	11.700	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	mesh serp and irregular black serp vein net the thicker of which are at 5 cm and 59 to 60 cm. some green and black veins too. Top of dyke at 57 cm is altered and oxidised, with clastic black and green serp and carbonate. Carb and serp veins at 17, 31, 45 to end (with finer vein net too)	Cataclastic texture in serpentinised green zone at 63-68 cm. Open cracks at top and end, at 42 and 58 cm	Serp dunite with altered gabbroic dyke at 0 to 28 cm cross-cut by vein around which black serp alt is complete; pink-red and black gabbroic dyke at 61 to 64 cm	Serp and carb and minor ox. Some low altered pyroxenes are visible (<2%).	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	5	2	3109428	1	0		12.475	12.475	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	Black serp vein net, and green black serp thicker veins at 6cm and at 52 to 68 cm often associated to carbonate veins. Fine white carbonate veins in all the unit. Glassy white veins (2 to 5 mm thick) in the large gabbroic dyke (abundant in the end of the gabbro dyke)	Open crack at top and end, at 56 cm	serpentinized with large gabbroic dyke fromm 11 to 42 cm (white and black, banded, with glassy white veins).	Serpentinized, carbonated and +/- ox. Some low altered pyroxenes are visible (<5%).	EM	JN		Microcrystalline	Medium grained	NN	NN	
5057	5	B	5	2	3109428	2	68		13.155	13.155	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%			Serp dunite	serp, carb, +/- ox	JN	EM		Microcrystalline	Medium grained	NN	NN	
5057	5	B	5	2	3109428	3	74		13.215	13.215	OPHIO	Dunite	NN		Continuous	Continuous	4	>90%	Black serp vein net, and waxy green black serp thicker veins (<5 mm thick) with carbonate veins in all the section. Black serp vein rich in magnetite at 76 cm, crosscut by waxy green serp vein rich in magnetite at the edge.	Black serpentine veinlets predominantly dip around 30-40 degrees. Waxy green vein net. is sub-vertical. Open crack at top and end.	Serp dunite	Serp, carb and highly ox	JN	EM		Microcrystalline	Medium grained	NN	NN	
5057	5	B	5	3	3109430	1	0		13.365	13.365	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	Black serp vein net. Waxy green black serp thicker veins (<5 mm thick) re-exploiting gabbroic dykes at 41 and 49 cm. Abundant waxy green black serp thicker veins (~3mm) and thin carbonate veins <2mm between 37 to 70 cm. Fine white carbonate veins re-activating black serp veins	Carb veins in majority sub-horizontal. Open cracks at top and end (with faint lineation), at 55 and 76 cm	Serp dunite with altered pink-red gabbroic dyke (3cm thick) at 41 and 49 cm	Serp, carb, ox. Serpentinisation and abundant large oxides (magnetite with alteration to hematite along veinlets- beautiful) are more intense at top to 60 cm.	JN			Microcrystalline	Medium grained	NN	NN	
5057	5	B	5	4	3109432	1	0		14.215	14.215	OPHIO	Dunite	NN		Continuous	Continuous	3	>90%	Black serp vein net. Waxy green black serp thicker veins (<5 mm thick) at 8 cm, at 51 cm (associated with carbonate veins at rim). From 12 to 25 cm, cataclastic waxy green black serp veins with red oxidized zone at the vein hall (hematite?). Fine white carbonate veins abundant in the cataclastic-brecciated zone from 12 to 25 cm.	cataclastic-brecciated from 12 to 25 cm. Waxy green serp veins sub-horizontal to 30 degrees dip. Open crack at 12, 18, 51 cm	Serp dunite	Serp, ox, carb. Serpentinisation and abundant large oxides (magnetite) are intense.	JN			Microcrystalline	Medium grained	NN	NN	
