image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_26_2_1,0.0844,0.7709,0.149,0.1482,0.1835,0.1245,0.3753,5.3602,1.4075,1.4305,2.1211,1.4796,5.2353
CS_5057_5_B_26_3_1,0.085,0.9747,0.164,0.1689,0.2211,0.1436,0.59,7.8817,1.3028,1.6929,2.5618,1.6956,7.5808
CS_5057_5_B_26_4_1,0.1034,1.1253,0.1953,0.2027,0.2519,0.1588,0.5803,6.3752,1.4557,1.5774,2.3799,1.5314,6.1791
CS_5057_5_B_27_1_1,0.0849,0.8144,0.1578,0.1562,0.1989,0.1336,0.4767,5.8462,1.6877,1.4518,2.3409,1.5799,5.6532
CS_5057_5_B_27_2_1,0.0904,1.0197,0.1865,0.193,0.2419,0.1589,0.6177,7.4321,1.6369,1.6271,2.4776,1.7619,7.1092
CS_5057_5_B_27_3_1,0.0789,1.3423,0.3328,0.293,0.4136,0.2331,0.6991,14.1915,3.2153,3.3749,5.1835,2.9639,13.5756
CS_5057_5_B_27_4_1,0.0819,0.6477,0.1475,0.1448,0.1683,0.1174,0.305,4.1577,1.5465,1.2829,2.0413,1.4396,4.0116
CS_5057_5_B_28_1_1,0.0733,0.5689,0.1386,0.132,0.1675,0.117,0.3388,4.4192,1.5227,1.6794,2.291,1.6025,4.3323
CS_5057_5_B_28_2_1,0.085,0.8025,0.1566,0.1474,0.1847,0.1249,0.4009,5.6777,1.4144,1.2651,2.176,1.4695,5.4759
CS_5057_5_B_28_3_1,0.0967,1.009,0.1905,0.1988,0.2135,0.1404,0.4173,6.1941,1.5956,1.6667,2.1574,1.4555,5.8294
CS_5057_5_B_28_4_1,0.096,0.9115,0.178,0.1786,0.2006,0.1371,0.3894,5.1931,1.3349,1.5214,2.0825,1.4315,4.8918
CS_5057_5_B_29_1_1,0.1077,1.327,0.1979,0.2411,0.2917,0.1735,0.8184,7.7677,1.371,1.6783,2.6497,1.6166,7.4607
CS_5057_5_B_29_2_1,0.0608,0.4147,0.0936,0.0916,0.1092,0.0792,0.1969,4.027,1.402,1.2027,1.7821,1.3072,3.8392
CS_5057_5_B_29_3_1,0.1634,2.455,0.421,0.4535,0.5156,0.2932,1.1569,8.1984,1.5141,1.2842,2.7547,1.7918,7.6903
CS_5057_5_B_29_4_1,0.1366,2.2374,0.2621,0.3783,0.4492,0.2296,1.3071,11.0547,1.0558,1.7585,3.0091,1.6414,10.5129
CS_5057_5_B_2_1_1,0.1139,1.0923,0.2243,0.2118,0.2371,0.1608,0.4765,4.3969,1.3925,1.296,1.9806,1.4161,4.1967
CS_5057_5_B_2_2_1,0.1076,1.1092,0.2083,0.2128,0.2612,0.1744,0.6066,5.5283,1.5281,1.1582,2.431,1.6281,5.2228
CS_5057_5_B_2_3_1,0.0714,0.638,0.1202,0.1195,0.1278,0.0894,0.2422,5.7797,1.3918,1.4911,1.7269,1.2574,5.5796
